Source,Headline,Text,Label,Source
https://www.huffingtonpost.co.uk/entry/horrifying-massive-oil-pipeline-blaze-sets-gulf-of-mexico-on-fire_uk_60e0199ae4b06fb1a6eb13fc,Horrifying Massive Oil Pipeline Blaze Sets Gulf Of Mexico On Fire,"The hellish blaze that erupted in gulf pipeline operated by Mexican state oil firm Pemex was reportedly extinguished after several hours.An oil pipeline fire in the Gulf of Mexico was reportedly brought under control and extinguished after a hellish scene of massive flames erupting directly from roiling waters Friday.The blaze west of the Yucatan Peninsula broke out at an underwater pipeline that connects to a platform operated by Mexican state oil firm Petroleos Mexicanos (Pemex) at its flagship Ku Maloob Zaap oil development in the southern gulf, Reuters reported.The national company attributed the blaze, which resembled molten lava on the water, to a gas leak in the 12-inch-diameter pipeline, apparently linked to an electrical  storm, according to Reuters.“The turbomachinery of Ku Maloob Zaap’s active production facilities were affected by an electrical storm and heavy rains,” stated an incident report shared by one of Reuters’ sources. The operation was reportedly pumping out 726,000 barrels a day of crude at the moment of the incident.In an eerie scene, ships poured fountains of water onto the flaming gulf. Reuters reported that Pemex’s crew used nitrogen to finally control the fire from the pipeline.The blaze erupted at 5:15 a.m. local time about 150 yards from an oil platform and operations returned to “normal” at 10:45 after the fire was extinguished, Bloomberg reported, citing a company statement.No injuries or major impact on production were reported after the early-morning fire.The full extent of any environmental damage was not yet known. Angel Carrizales, head of Mexico’s oil safety regulator ASEA, insisted on Twitter that the incident “did not generate any spill” — but failed to explain what was burning on the water, Reuters noted.Pemex has had a history of accidents.Ku Maloob Zaap is Pemex’s largest crude oil producers, and accounts for more than 40% of its total 1.7 million barrels of daily crude production. Production has been declining at Ku Maloob Zaap as fields mature and Pemex doesn’t have enough resources to invest in new extraction technologies, Bloomberg reported.Pemex output has dropped each year for more than a decade, has the largest debt of any major oil operation — almost $114 billion, according to Bloomberg.",Fact,Huffington Post
https://www.indy100.com/news/northern-ireland-same-sex-marriage-lgbt-gay-rights-equality-9329006,Two years ago I was forced to marry my husband outside Northern Ireland – today the law finally says we matter,"I always wanted to get married in Derry – the city of my birth and the city that I love.It’s a place like no other, where the air sings its own tunes and the sense of humour is like a second language. Like much of Northern Ireland, it bears the scars and traumas of recent decades but now hope cuts through – just like the Peace Bridge which has planted a modern facade on its landscape.Across the past decade we moved on in so many ways, and with every trip back home I was overwhelmed by how progressive people had become. There is something about overcoming the hardships that we did which reminds people that loving who you want is nothing to fear.Derry is the cradle of civil rights. My grandfather was among the generation in the 1960s who said ‘no more’ and took to the streets to demand basic things like one man one vote, an end to gerrymandering, access to housing and jobs – all of which was denied overwhelmingly to the Catholic population by the unionist government, while London turned a blind eye.For a few years, London again turned that blind eye while unionists in Belfast denied equal rights – this time to members of the LBGTQ+ community. It wasn’t easy to call out the DUP’s misuse of their veto in Stormont when they were propping the Conservatives up at Westminster.But they were on the wrong side of history. The law was changing in countries all around us, and a poll in April 2018 found that 76 per cent of people in Northern Ireland backed marriage equality. I didn’t want to wait any longer.I married my husband Dom that summer in Donegal, just 20 minutes across the border, where marriage equality had been ratified in that historic 2015 referendum. Then, back in Derry, we held the kind of celebration I had always wanted. It was a glorious day, and people were visibly moved to be part of a union which was not just the cementing of a great love affair, but also a political act.Our marriage may not have been legally recognised by the law in Northern Ireland, but it was validated by the love and admiration we felt from a room full of our closest family and friends.I felt this power again in 2019 when I attended the wedding of one of my oldest friends Danielle and her new wife Emma – another ceremony we had to hop the border for. But eventually, the dam broke. Political opponents of equality may not have relented, but they acknowledged that the horse had bolted and so, they simply let it go. Today, we’ll see the first same-gender wedding in Northern Ireland between Robyn Peoples and Sharni Edwards, and it’s about time.Now, when I go back to Derry, I’ll have the satisfaction of knowing that my marriage there is legal. I’ll also know that in younger generations, people like me will be growing up in the full knowledge that their love is as equal under the law as anyone else’s, and that they matter too.As a person, I still feel I have a long way to go in life. But with a husband, I feel stronger and more ready to face the future. In Northern Ireland too, we have such a long way to go as a society. But with the introduction of marriage equality, and the widening of our embrace around marginalised citizens, we will also be stronger and better prepared for building a new society, free from the mistakes of the past.",Opinion,Independent
https://www.independent.co.uk/travel/uk/train-travel-disability-accessible-rail-greater-anglia-carriage-a8656541.html,What Being Newly Disabled Taught Me About Travelling By Train,"As new research reveals that 40 per cent of UK rail stations are inaccessible to disabled passengers, Hollie Brooks argues for rail companies to do moreTypically, I was out drinking beer and dancing at a gig the night meningitis started to take hold. Because no one expects their lives to be turned upside down on a Tuesday night, do they? That night changed my life and I spent the summer of 2018 as a wheelchair user and a campaigner for disabled passenger rights on British railways.When meningitis and sepsis struck in June 2018, everything I ever thought I knew about the world and how to travel around it changed. My usual commute to work on Fleet Street would take me from my picturesque village in Wivenhoe, Essex, to Stratford and a quick journey on the Central line: the only thing that bothered me would be if a train was delayed by a few minutes.Like the majority of the population, I had absolutely no idea of the struggle wheelchair users face on a daily basis. Just today, news emerged that more than 40 per cent of UK stations are not accessible to physically disabled people, according to research by disability charity Leonard Cheshire.My latest struggle involved Greater Anglia using a designated wheelchair space as a catering service, selling tea and coffee from the space and piling up boxes by my feet so I couldn’t even get my wheelchair into a safe position. The photograph and videos went viral.Greater Anglia were “sorry [I] felt upset” – not sorry it messed up, but sorry that I was apparently emotionally incapable and should be thankful for the company even allowing me on the train. Not sorry for the huge health and safety risk or the fact trolleys can apparently go somewhere else, but sorry I felt a certain way. Needless to say, its patronising response has turned into an example of what not to do when faced with a PR crisis.But once the radio interviews and newspaper articles died down, the real question remained: how do we make a stand against train companies who know we rely on them to facilitate the most mundane parts of our day-to-day life?Fancy popping off to the seaside for the afternoon? Or staying in the office an hour later to catch up on emails? If you’re a wheelchair user and travel by train, these everyday decisions are impossible. Rail companies demand you book travel assistance up to 24 hours in advance, meaning any sort of spontaneity is taken away from you.Paralympian Lady Tanni Grey-Thomson has repeatedly called for rail companies to not only make their rules linear across providers, but also to abolish the outdated procedures that discriminate against disabled passengers.Once you have jumped through hoops to organise your transport, there is absolutely no guarantee you’ll be assisted and treated with dignity. As my local train station is only accessible on one platform – something I’d never really thought about when I was able-bodied – Greater Anglia has to provide me with a wheelchair-assisted taxi to take me from the nearest station back to my local one. At times, the taxi just hasn’t turned up or a regular car, suitable for those who are able-bodied, has turned up instead, which adds insult to injury – quite literally.Have you ever considered what you’d do if your assistance simply wasn’t there at your end destination? Comedian Tanyalee Davis uses a mobility scooter and has, on at least one occasion, been left on the train after a member of staff failed to turn up with the necessary ramp.And what difference does pre-booking make if there’s zero communication between train companies and platform staff?I’ve received hundreds of similar stories on Twitter, and the impact that the lack of travel assistance is having on the mental health of disabled users is huge. I’ve been subject to several panic attacks on platforms; I refuse to travel on my own after being left stranded by staff who treated me like I’m a huge inconvenience; and I’m missing out on job opportunities because I don’t trust Greater Anglia to provide their duty of care twice a day for a commute.What rail companies don’t realise is their complicated procedures and sloppy staff members are causing disabled people to stay inside more, to isolate themselves and to be afraid of speaking out again because they know these complaints go absolutely nowhere.Because it doesn’t matter if you’ve been in a wheelchair all your life or for the last three months like me. Even if you’re completely able-bodied, the need for ease of travel is a human right and you never know what you’ve got until it’s gone.The journey starts now. It starts with making our voices heard; jumping through the hoops we have to in order to make formal complaints and demanding change. Not promises, not apologies. Change.",Opinion,Independent
https://www.indy100.com/people/furlough-scheme-boris-johnson-workers-class-rich-9518991,Don't be fooled into thinking the furlough scheme is doing you a favour – it's about protecting the rich,"At the onset of the UK lockdown, in one of his press briefings, Boris Johnson said something extremely unexpected: that he was aware that after the financial crisis, the banks had been bailed out while the people had not.This time, he insisted, this would not be the case. And on the surface it looks like he has kept his word – the furlough scheme has been extended this week, with millions of workers’ incomes protected at up to 80 per cent.But if we look at who is slipping through the gaps in the furlough scheme – who can and can’t work from home, who is on the frontline without PPE or who is expected to pay for the furlough and emergency packages – it’s the same old story of protecting the rich before everyone else.The Office of Budget Responsibility has chalked up the cost of the now extended furlough scheme and other emergency interventions to £123bn. This, Chancellor Rishi Sunak and his colleagues claim, is an intervention on a larger scale than other rich nations.Yet the Institute for Fiscal Studies (IFS) actually found that, as a proportion of national income, we are relatively modest compared several countries – including Japan, the USA, Canada and Germany. And there’s something else to consider: while £123bn is a huge sum, equivalent to 5.9 per cent of national income or the full running cost of the NHS in 2017, it is still less that the bank bailouts that totaled at £137bn.So why are we acting like the government is doing taxpayers a favour?Yes, you can argue that we got stakes in the banks so got some of the money back. You could also argue that providing income for people to avoid mass redundancies and millions of homes being repossessed and renters kicked out is worth the investment in both the short and long-term. We have bought a stake in the people of this country – and their hard work is what will get the economy going again.But this is not the language we're hearing.In recent weeks we have heard that senior government officials are worried about workers getting “addicted” to the furlough scheme, and leaked Treasury documents discussing how to tax people more and freeze public sector pay to recoup the costs of the emergency bailout of businesses and workers. The banks were given time to repay their debts, and that was a crisis of their making. It seems everyday people aren’t coming first after all – not now, and not in preparations for what comes after the lockdown.And what about within the mechanics of the emergency package? With any intervention there are those that gain more than others – and despite the rhetoric, when you follow the money you find it is disproportionately helping those with housing wealth. A new study published by the Institute for Public Policy Research (IPPR) calculates that 13 per cent of state spending on the furlough scheme is likely to end up in the pockets of landlords – amounting to £2.8bn under a three-month lockdown.Once they add mortgage and loan repayments, this rises to a combined 45 per cent of total spending of the furlough scheme. So while the money is going to workers, it is also a de facto bailout for landlords and the banks. Banks are not forgiving debt, of course: mortgage holidays are just deferred payments and many are still charging obscene interest rates on credit cards and overdrafts. After taxpayers bailed out the banks in 2008, you might think they would try to return the favour.Inequalities are being greatly exacerbated in this crisis.New research from my think tank the Centre for Labour and Social Studies (CLASS) confirms that it is those on lower incomes and precarious employment contracts that are being worse hit. Conversely, a third of key workers are paid less than £10 a hour, and more than half of care workers – meaning those most exposed to the virus are also on often on less than a real Living Wage. It’s a massive slap in the face. As if things won’t bad enough, those on lower incomes, in deprived areas and ethnic minorities are more likely to die from the coronavirus.Nothing the government has done so far has sought to ameliorate these disparities. They haven’t even done the basic and easy stuff – like demand that any bailouts via the furlough scheme or loans can only be given to companies who pay their taxes here. It is almost as if they don’t see the inequalities at all.Meanwhile, it’s those that can’t work from home – those in construction, manufacturing and people facing roles that are being told to return to work.If they don’t drive or live close to their workplace, like the majority of working class and young Londoners and millions in other cities in the UK, they have to get on public transport. If it’s not safe enough for the middle class who are much more likely to be able to work from home – why is it safe enough for the working class?Now the government is also trying to push teachers and others back to work – cloaking their demands in language of bravery and heroism. Maybe people just want to be safe in their workplaces, as is their right.Covid-19 has unleashed a whole new class struggle.The bleak truth is that those on lower incomes – often doing the work that is keeping the wheels on society, are the ones who will end up in more debt, more precarious housing situations and sick or even dead. There is one last opportunity to reverse these obscene inequalities – thorough building in equality measures into any recovery plan. Given the track record of Conservative governments since 2010, I wouldn’t hold your breath.",Opinion,Independent
https://www.bbc.co.uk/news/uk-57763173,Covid-19: Amber list quarantine for fully vaccinated to end on 19 July,"Fully vaccinated UK residents arriving in England from amber travel list destinations will no longer have to quarantine from 19 July.They will, however, still need to pay for Covid tests before and after their return, the transport secretary said.Grant Shapps told MPs that under-18s returning from amber list places would also be exempt from quarantine.Travel industry leaders said the change was a ""positive step"" but called for the amber list to be expanded.Currently, anyone returning from amber or red list countries must isolate for 10 days, regardless of vaccine status.Mr Shapps said a full vaccination means ""14 days have passed since your final dose of the vaccine"" - and only vaccines given by the NHS will count.""In essence, this means that for fully vaccinated travellers the requirements for green and amber list countries are the same,"" he added.Both Scotland and Wales have said they will consider whether to follow this latest rule change.The transport secretary went on to say that, from 19 July - which is also the day when most Covid rules in England are due to end - the guidance that people should not travel to amber list countries will be removed.But he cautioned ""an amber list country could still turn red"", meaning hotel quarantine would become a requirement.All of England's 19 July rule changes are due to be confirmed on 12 July after a review of the latest data.",Fact,BBC
https://www.huffingtonpost.co.uk/entry/christian-eriksen-collapses-on-field-at-euro-2020-tournament_uk_60c50f7ce4b0402a2c02a295,"Christian Eriksen, Danish Team Captain, Collapses On Field At The Euros","A European Championship match between Denmark and Finland came to an abrupt halt on Saturday when Danish team captain Christian Eriksen collapsed on the field. Players swiftly called over medical personnel and ? with some in tears ? formed a human shield around Eriksen as he received chest compressions and other aid at Parken Stadium in Copenhagen. Eriksen, a star midfielder, was taken away on a stretcher after about 10 minutes of medical attention.He has been stabilised and transferred to a hospital for tests, according to an announcement from the Union of European Football Associations, which organises the tournament held every four years. The match then resumed at the request of both teams.Players were in the first half of the game when Eriksen appeared ready to receive a pass but instead collapsed near the sideline. As spectators awaited further update on Eriksen’s condition, tributes poured infrom fans, journalists and football clubs around the world. “Incredible effort from the paramedic team,” tweeted Google CEO Sundar Pichai.“My god, thinking of Eriksen and his family and sending all the love and strength available,” Team USA star player Megan Rapinoe said.Video from the stadium showed the fans shouting “Christian” and “Eriksen” back and forth in solidarity during the pause in the game, which lasted roughly 90 minutes.The next match, between Belgium and Russia, will go forth as scheduled, the UEFA said.",Fact,Huffington Post
https://www.nytimes.com/2021/07/07/opinion/google-utility-antitrust-technology.html,Let’s Make Google a Public Good,"American law recognizes that some critically important businesses must accept all customers and treat everyone fairly because they are not easily or economically efficient to duplicate — think railroads, electricity providers and telephone companies.As Ohio’s attorney general, I went to court last month asking for a judicial declaration that Google has evolved into such an entity: a public utility of internet search.Google is ubiquitous. More web traffic goes to Google and YouTube, a subsidiary of Google, than the other top 50 websites combined. And it’s not just internet traffic: Google dominates internet search, cornering nearly 90 percent of the U.S. search market, and even more globally. Bing, the runner-up in internet search, claims a mere 6 percent of the U.S. market and 2 percent globally.More than 30 states, including my own, have joined in a bipartisan antitrust action against Google. But, separately, Ohio is pursuing Google under the common law of public utility — a tactic that I urge other states to consider.Should Ohio prevail in its lawsuit, there will be no heavy-handed “Mother May I?” antitrust regulation in which the government tells Google how to run its business or how to write its algorithms. Nor, unlike antitrust law, does Ohio’s suit seek to reduce the number of Google users. We are not even asking for monetary damages — just a simple declaration that, under the law, Google is a public utility, or more generally, a common carrier.As a common-law public utility, Google would then have a legal duty to act with consideration of the public interest, to provide equal access to all users and all information providers and to act without unreasonable bias against information providers, particularly Google’s competitors in other business lines. That’s it. As legal touches go, it’s a lot lighter than what antitrust law would demand. (Google has said the Ohio lawsuit “has no basis in fact or law” and that it will defend itself against it in court.)Once Google is declared a common carrier, the average web user’s experience of search would, for the most part, remain the same. That’s largely because, when you use Google to search, you’re not the customer — you’re the product. Google uses your detailed personal information for targeting ads.The subtle common-carrier changes for users will be positive, such as showing you the results you requested instead of being steered to Google products. My lawsuit alleges that Google prioritizes its own products and platforms in search results. According to the market research company SparkToro, at least 65 percent of Google searches in 2020 were “zero-click searches” — that is, the consumer never left Google when conducting a search. And an investigation by The Markup found that a search for, say, flights, can first bring up results from Google Flights — while competitors such as Travelocity and Orbitz can be shut out.As a public utility, Google search would have to give others a better shot. Those searching would get results that are not skewed to Google, and the marketplace would be a bit more competitive.Once a court declares Google a public utility, the marketplace itself would provide the guardrails. Those who felt they were not getting a fair shake could seek redress in court, though modern public utilities largely follow the rules, and we would not expect Google to face an avalanche of litigation.The duty for a public utility to operate in the public interest dates back to English common law, when key economic players such as ferry operators had to fulfill certain obligations to the public. During the Gilded Age, the railroad magnate Cornelius Vanderbilt controlled a bridge that was key to getting to New York City by train. In the late 1860s, he closed the bridge to rivals, effectively shutting the rest of the country out of its largest port, and the city off from food supplies from the west.As the competing railroads’ stock crashed, he quickly bought up a controlling position. As a result, Vanderbilt used his control of a chokepoint to help establish a monopoly. To curb such predations, Congress passed the Sherman Antitrust Act in 1890 and subsequently began codifying common-carrier and public-utility law.But the common law regarding public utilities remains in many places — including Ohio. Statutory regulation will produce different results from the common law because while codification requires detailed regulations addressing all issues upfront, the common law allows for nuanced lawmaking tailored to each specific dispute.Critics of Ohio’s lawsuit abound, of course. To knock down a few straw men: Ohio’s action is not chilling Google’s right to free speech. To the contrary, Google will remain free to say anything it pleases. What it may not do is restrain the commerce of others by using its monopolistic powers in search to corner other markets.Critics also say that this creates a “dormant Commerce Clause” problem — that one state among 50 is using its law in a manner that burdens interstate commerce, a violation of sovereignty and federalism. But Google can geo-fence Ohio if it chooses (and the other states that will most likely follow Ohio’s lead).The truth of the matter is that foreign governments already are regulating cyberspaces around the world, and with a far heavier hand. The European Union requires cookie warnings and privacy safeguards. Google just settled France’s lawsuit about Google’s advertising infrastructure.Google’s initial response in our case is due in the next few weeks. The preface to Google’s parent company’s code of conduct says, “Do the right thing — follow the law, act honorably and treat co-workers with courtesy, support and respect.” Google could do that by acknowledging what is obvious: It’s so dominant that the rules of private companies no longer apply to it.",Opinion,NY Times
https://www.nytimes.com/2021/07/07/opinion/venezuela-landmark-university.html,"This World Heritage Site Is in Ruins, and That’s Not by Accident","When the main campus of the Central University of Venezuela (Universidad Central de Venezuela, or U.C.V.) was declared a World Heritage Site in 2000, UNESCO deemed it “a masterpiece of modern city planning, architecture and art” and an “outstanding example of the coherent realization of the urban, architectural and artistic ideals of the early 20th century.”Two decades later, this paradigm of art — an emblem of Caracas and the pride of Venezuela’s public education system — is in ruins, and its demise may go unnoticed in a country that’s suffered so much loss.Last year, a section of the roof covering the walkway connecting the university’s buildings collapsed because of a lack of maintenance. In the absence of resources to tend to the drainage, the columns holding up the roof fractured under the weight of storm water pooled on the structure’s corrugated surface. And that’s just the most glaring example of U.C.V.’s deterioration. On June 30 the building that houses the school of political science caught fire. The university’s fire department and local firefighters struggled to extinguish the flames because of the water shortage.It’s as if the honor bestowed by UNESCO were a condemnation and not a designation of excellence. Yet the university is far from the country’s only struggling institution. A 2018 report found that 95 percent of educational establishments have fallen into disrepair. Classrooms are emptying out, with dropout rates in secondary schools reaching 50 percent in 2020 largely because of the exodus of more than five million Venezuelans and the impact of the pandemic. The country is estimated to have lost about half of its teachers since 2015, and many children stay home instead of going to class because schools lack the basic infrastructure and resources to provide them with food.The degradation of our educational system is a quieter, more gradual tragedy that weighs on the soul. But its implications — the decline of one of the most important cultural and intellectual symbols in Venezuela and the potential loss of a modern architectural landmark — should be disconcerting to all of humanity. If civilization can celebrate its greatest creations, it also has a duty to protect them. UNESCO should draw attention to the demise of University City, U.C.V.’s central campus, beyond general statements of support and declare the site a World Heritage in danger. But the Venezuelan government must do its part: UNESCO will provide the financial resources necessary for conservation efforts only if Venezuela requests them.As a child born in the middle of the 20th century, I saw U.C.V. as the vibrant epicenter of Venezuela’s higher education. After the dictatorship of Juan Vicente Gómez, which ended in 1935, education was considered essential to creating a fruitful democracy. I took it for granted amid the dizzying modernization brought on by the oil boom.When I began studying architecture at the university in 1968, it felt as if U.C.V. had always existed and would be eternal. I didn’t understand its exceptionality.The reality is that U.C.V. is a modern marvel as unique as it is fragile and that its disintegration is not by chance. The university is the victim of a regime whose notion of continuity is keeping cultural symbols, especially institutions it feels threatened by, buried under absolute neglect.The Central University of Venezuela has always been a bastion against authoritarianism and the vanguard of new ideas. The politics of Hugo Chávez, who came to power in 1999, and his followers were generally unpopular among the U.C.V. student body. Students took to the street in 2007 to protest President Chávez’s moves to restrict freedom of expression. As part of his long-term strategy to weaken their influence, he denied the university and (other public institutions) essential financial resources.Continued budget restrictions and the suppression of outspoken teachers and students under President Nicolás Maduro’s administration have helped make the inconceivable happen: University City has become an archaeological ruin. The state of the site is a mirror of the country’s conditions, revealing that time in Venezuela seems to march backward. There’s a sensation that the current of history, confoundingly and devastatingly, flows in reverse. Our future seems to exist only within the constructs of a fading past.",Opinion,NY Times
https://www.theguardian.com/commentisfree/2021/jul/08/bbc-climate-change-deniers-fossil-fuel-broadcasters,How the BBC let climate deniers walk all over it,"The fossil-fuel multinationals fund ‘thinktanks’ and ‘research institutes’. But it’s gullible public service broadcasters that give them credibilityYes, we should rake over the coals. And the oil, and the gas. Democratic accountability means remembering who helped to stoke the climate crisis. We should hold the fossil fuel companies to account.In 1979, an internal study by Exxon concluded that burning carbon fuels “will cause dramatic environmental effects before the year 2050”. In 1982, as the Guardian’s Climate Crimes series recalls, an Exxon memo concluded that the science of climate change was “unanimous”. Then it poured millions of dollars into lobby groups casting doubt on it.They didn’t call themselves lobby groups, but “thinktanks” or “research institutes”. Across the world, the media took them at their word.So scientists and environmental campaigners found themselves fighting the oil companies at one step removed, and with one hand tied behind their backs. When some of us were pitched against a “thinktank” in the media, if we tried to explain that it was not what it claimed to be, or asked it to reveal its funders, we were accused of being “conspiracy theorists”, or of “playing the man not the ball”. But if we didn’t, its false claims about climate science were given equal or greater weight. After all, who were we, a threadbare bunch, beside those respectable-sounding institutes with offices in Washington or Westminster?When we criticised the media for its determined naivety, we were frozen out. Before long, the thinktanks and trade associations had a clear run. They were the serious, sensible people, to whom the media turned to explain the world. And still turns.If the oil companies are to be held to account, so should the media that amplified their voices. It scarcely needs to be said that the billionaire press took the lead in attacking climate science. After all, the owners have long perceived an attack on one corporation or plutocrat as an attack on all. But far more dangerous were the public sector broadcasters – which tend to be taken more seriously, as they are widely seen as independent and unbiased.For Channel 4, winding up environmentalists became a blood sport. In films such as Against Nature and The Great Global Warming Swindle, the mistakes and distortions came so thick and fast that it was hard to see them as anything but deliberate provocations. When ?I ?complained, the channel sought to justify them with further ?unfounded claims. All that counted was noise: Channel 4, at the time, clearly couldn’t give a damn about the impacts.The BBC’s role was more insidious. Its collaboration arose from a disastrous combination of gullibility, appeasement and scientific ignorance. It let the fossil fuel industry walk all over it.When some of us pointed out that failing to ask its contributors to reveal their sources of funding was a direct breach of its own editorial guidelines, the BBC produced a series of bizarre, catch-22 excuses, and carried on breaking its rules for several years. It gave the oil and tobacco companies just what they wanted: in the words of the American Petroleum Institute, “victory will be achieved” when “recognition of uncertainties becomes part of the ‘conventional wisdom’”.Only in 2018, a mere 36 years after Exxon came to the same conclusion, did the BBC decide that climate science is solid, and there is no justification for both-sidesing it. But the nonsense continues.Last week, a group of us revealed what the BBC has been teaching children about climate breakdown. The GCSE module on BBC Bitesize listed the “positive” impacts of our global catastrophe. Among them were “more resources, such as oil, becoming available in places such as Alaska and Siberia when the ice melts”; “new tourist destinations becoming available” (welcome to Derby-on-Sea); and “warmer temperatures could lead to healthier outdoor lifestyles”.In a sterling example of the corporation’s endless confusion between balance and impartiality, the list of positives was roughly equal to the list of negatives. The greatest crisis humanity has ever faced looked like six of one and half a dozen of the other.Only when it caused a social media storm did the BBC remove this content. I asked it how, when and why this list was included, whether external organisations were involved, and why the corporation ignored previous requests to improve the module. It told me it would not be commenting. So much for public service.The frontier of denial has now shifted to the biggest of all environmental issues: farming. Here, the BBC still gives lobby groups and trade associations sowing doubt about environmental damage (especially by livestock farming) more airtime than the scientists and campaigners seeking to explain the problems.Not just airtime, but kudos. The head of the National Farmers’ Union, Minette Batters, has sought to undermine the ban on neonicotinoid pesticides, pressed for continuation of the cruel and useless badger cull, and lobbied against reductions in meat consumption, among other harmful positions. But last year, BBC’s Woman’s Hour included her on its power list of “30 inspiring women whose work is making a significant positive contribution to the environment”. She was placed above true environmental heroes such as Gail Bradbrook, Judy Ling-Wong, Franny Armstrong and Safia Minney. The BBC continues to confuse mainstream with respectable, and respectable with right.The lesson, to my mind, is obvious: if we fail to hold organisations to account for their mistakes and obfuscations, they’ll keep repeating them. Climate crimes have perpetrators. They also have facilitators.",Opinion,Guardian
https://www.theguardian.com/commentisfree/2021/jul/07/living-with-the-virus-uk-vaccinated-covid-cases,‘Living with the virus’ makes no sense. Only half of the UK is fully vaccinated,"We’re heading towards 100,000 Covid cases a day, yet ministers laud ‘freedom day’. It seems no one is accountableAfter receiving my second vaccination in April, I contracted Covid a week ago. I’m now “living with the virus”, a phrase emblematic of the failure of UK public health. Just look at the relative death rates in China (population 1.4 billion), Vietnam (100 million), the United States (340 million) and the UK (68 million). When plotted on the same graph, you cannot see the death curves for those two Asian states because they are so low.Britain’s leaders and their advisers told us last year that we could not suppress the virus. China and Vietnam did, within six weeks. They told us these countries would inevitably face a huge second wave. They haven’t; just smaller outbreaks, suppressed with good public health practice implemented by people on the ground.As we know, exploding cases in March 2020 forced the UK into a 13-week full national lockdown, with huge damage to livelihoods, the economy and mental health. None of the east Asian states had national lockdowns, only local ones. In 2020, China’s GDP grew by 2% and Vietnam’s by 2.9%, according to the World Bank, compared with the UK’s 9.9% contraction.Last summer the UK government set up a privatised, call centre-based test-and-trace system divorced from our underfunded local public health and primary care teams – quite unlike anything done in successful east Asian states. It couldn’t possibly work, and it didn’t. The Treasury refused to give any financial support to poorer people to isolate – in case, as the then health secretary, Matt Hancock, told a Commons select committee, they “gamed the system”. So poor families gamed the test-and-trace system instead, to keep working and feed their families. The virus simply spread, without public health control, and was only suppressed by two more prolonged national lockdowns.The vaccines arrived with a huge wave of nationalistic fervour. We are world leaders, crowed the prime minister. The first to jab. Yes, our GP network stepped in magnificently to roll out the vaccines, but local authorities and public health remained deprived of any financial support. Meanwhile, test and trace staggered on, a fortune spent on private consultants, test companies and cronies. The £37bn spent was equivalent to a decade’s funding for the whole UK public health programme.So the third lockdown now ends in a staggered and collapsing roadmap. In February the chief scientific adviser, Patrick Vallance, was alone among advisers saying that find, test, trace and isolate was crucial when case rates fell to low levels. On 19 May, we saw only 1,517 cases a day. Yet no changes were made to our ineffective test-and-trace system – it remained outsourced, with the lowest rate of financial compensation for isolation in any OECD country. So another wave began.On Monday the prime minister told us we would have 50,000 cases a day by his so-called “freedom day” on 19 July. A day later the health secretary, Sajid Javid, said we could hit 100,000 a day this summer. But it was OK, he told us. We can “live with the virus” because we are all vaccinated.Well, all except children, and the poorest and most hesitant groups. Actually, only half Britain’s population (34 million) is fully protected with vaccines. Yes, admissions and deaths will go up, but the government can’t say by how much. The possibility of the virus becoming vaccine-resistant was not mentioned. Vaccine protection appears much less effective at stopping infection than it does at preventing serious illness or death. Talk of long Covid is seemingly taboo among ministers, even though the latest government figures show more than 2 million people have lived with symptoms for at least 12 weeks. A new study has found measurable thinning of the brain cortex areas covering taste and smell in these patients.And the government seems to think it fine for 8.8 million children up to age 16 to become infected – even though the US, Europe and Israel have vaccinated more than 7 million children because the benefits clearly outweigh the risks. Our vaccine committee is still thinking about it. Meanwhile, even in English school classrooms, masks are no longer required.And what of the global vaccine shortage? At last month’s G7 meeting in Cornwall, President Joe Biden urged fellow leaders to share the patent with all countries so they can manufacture the vaccine themselves. The UK, Germany and Canada said no. Although 95% of funds to develop vaccines came from the public purse, it appears that the shareholders of big pharma companies must be protected. So a million people must die every month to sustain free markets.New variants will emerge, but those same multinationals can make new vaccines – no doubt with new patents. No new G7 money was committed to the Covax global distribution scheme. And with Indian supplies blocked, Nepal, Bangladesh and the whole of Africa have virtually no vaccines.Under the new libertarian public health system, “living with the virus” means we must not compromise people’s freedom to do what they like. If you prefer to cough and sneeze in a crowded commuter train, so be it: there’ll be no legal restriction on that. If porters, nurses, doctors, care workers, bus drivers or factory workers become infected, and if some of them die, so be it.Seemingly no one is accountable. Politicians say they follow the science. Advisers say ministers must make the decisions. An explosion of cases is imminent, the burden on the NHS could be severe, and the threat of new variants that can break through the present vaccine protection is real, as I know. Rather than a merry-go-round of birthday honours and George Crosses, we need a plan to deal with the rampant third wave – one that will keep us safe.",Opinion,Guardian
